Rank,Title,Source_URL,Score_Points,Category
1,France to ban unsolicited telemarketing calls,https://www.lemonde.fr/en/france/article/2026/08/06/france-to-ban-unsolicited-telemarketing-calls-from-august-11_6756208_7.html,360,Public Web Data
2,H3-metal – Native MiniMax-H3 inference for Apple Silicon,https://github.com/antirez/h3.c,308,Public Web Data
3,"As AI eats the web, the internet’s collective memory is disappearing",https://thewalrus.ca/google-search-is-dying/,383,Public Web Data
4,"To Save C, We Must Save ABI (2022)",https://thephd.dev/to-save-c-we-must-save-abi-fixing-c-function-abi,76,Public Web Data
5,Chicken Scheme 6.0,https://code.call-cc.org/releases/6.0.0/NEWS,212,Public Web Data
6,LFM2.5 2.6B model competitive with 4x larger models,https://huggingface.co/LiquidAI/LFM2.5-2.6B,92,Public Web Data
7,"Show HN: Needle2: 14MB agentic LLM for phones, wearables, smart home and robots",https://cactuscompute.com/needle,372,Public Web Data
8,Show HN: Scroll through all 43252003274489856000 Rubik's Cube states,https://everycube.alen.is/,215,Public Web Data
9,Mark Zuckerberg attacks 'closed' AI rivals as Meta returns to open models,https://www.ft.com/content/4e3957f8-ea7c-4c46-a3de-cdce8e526878,537,Public Web Data
10,Programming the Gigatron,https://www.iwriteiam.nl/PGigatron.html,14,Public Web Data
11,The “mechanical miracle” that ruined Mark Twain’s life,https://resobscura.substack.com/p/the-mechanical-miracle-that-ruined,152,Public Web Data
12,Closing Canario Terminal source code,https://rapha.land/closing-canario-terminal-source-code/,14,Public Web Data
13,About Rx Kids,https://rxkids.org/about/,32,Public Web Data
14,Recycle – Floppydisks,https://www.floppydisk.com/recycle,72,Public Web Data
15,Faster floating point math with Rust's new API,https://pythonspeed.com/articles/faster-float-math-rust/,51,Public Web Data
